"X mean mandatory standard reaction
E mean the defect is configurable and the platform will be configured as Enabled.
D mean the defect is configurable and the platform will be configured as Disabled.
Blank mean no reason to have this reaction","Reversibility
",PAR_DEFECTRETRY_Authorization,descr,Retry Group Number,TI_Stus change from OFF to ON,TSRP_R change from OFF to ON,AM_ActiveStatus_Out1 change from 0 to 1,AM_ActiveStatus_Out2change from 0 to 1,AM_ActiveStatus_Out3 change from 0 to 1,AM_ActiveStatus_Out4 change from 0 to 1,AM_ActiveStatus_Out5 change from 0 to 1,AM_ActiveStatus_Out6 change from 0 to 1,AM_ActiveStatus_Out7 change from 0 to 1,AM_ActiveStatus_IPD1  change from 0 to 1,AM_ActiveStatus_IPD2  change from 0 to 1,AM_ActiveStatus_IPD3  change from 0 to 1,AM_ActiveStatus_IPD4  change from 0 to 1,AM_ActiveStatus_IPD5  change from 0 to 1,AM_ActiveStatus_PWMoutput 1  change from 0 to 1,AM_ActiveStatus_PWMoutput 2  change from 0 to 1,DEF_Driver_ELEC_UV_absent,DEF_Driver_ELEC_OV_absent,Boost is not  defective,DEF_Driver_ELEC_RANGEREADYNESS_absent
DEF_LedThermalShutdown_Func13,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_LedThermalShutdown_Func14,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_LedThermalShutdown_Func15,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_DriverNTC_TEMPSENSOR1,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_DriverNTC_TEMPSENSOR2,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Bin coding sensor Defect,,,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_1,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_2,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_3,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_4,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_5,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_6,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_7,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_8,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_9,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_10,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_11,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_12,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_13,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_14,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_15,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
LED load failure,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_LOAD_1_SHORTCIRCUIT,0.0,1.0,,13.0,,,D,,,,,,,,,,,,,,E,E,,E
DEF_LED_LOAD_2_SHORTCIRCUIT,0.0,1.0,,14.0,,,,D,,,,,,,,,,,,,E,E,,E
DEF_LED_LOAD_3_SHORTCIRCUIT,0.0,1.0,,15.0,E,D,,,D,,,,,,,,,,,,E,E,E,E
DEF_LED_LOAD_4_SHORTCIRCUIT,0.0,1.0,,16.0,D,D,,,,D,,,,,,,,,,,E,E,E,E
DEF_LED_LOAD_5_SHORTCIRCUIT,0.0,0.0,,17.0,D,D,,,,,D,,,,,,,,,,D,D,D,D
DEF_LED_LOAD_6_SHORTCIRCUIT,0.0,1.0,,18.0,D,E,,,,,,D,,,,,,,,,E,E,E,E
DEF_LED_LOAD_7_SHORTCIRCUIT,0.0,1.0,,19.0,D,D,,,,,,,D,,,,,,,,E,E,E,E
DEF_LED_LOAD_1_OPENCIRCUIT,0.0,1.0,,13.0,,,D,,,,,,,,,,,,,,E,E,,E
DEF_LED_LOAD_2_OPENCIRCUIT,0.0,1.0,,14.0,,,,D,,,,,,,,,,,,,E,E,,E
DEF_LED_LOAD_3_OPENCIRCUIT,0.0,1.0,,15.0,E,D,,,D,,,,,,,,,,,,E,E,E,E
DEF_LED_LOAD_4_OPENCIRCUIT,0.0,1.0,,16.0,D,D,,,,D,,,,,,,,,,,E,E,E,E
DEF_LED_LOAD_5_OPENCIRCUIT,0.0,0.0,,17.0,D,D,,,,,D,,,,,,,,,,D,D,D,D
DEF_LED_LOAD_6_OPENCIRCUIT,0.0,1.0,,18.0,D,E,,,,,,D,,,,,,,,,E,E,E,E
DEF_LED_LOAD_7_OPENCIRCUIT,0.0,1.0,,19.0,D,D,,,,,,,D,,,,,,,,E,E,E,E
DEF_Mlc_LED_OCSC_Out1,0.0,1.0,,13.0,,,D,,,,,,,,,,,,,,E,E,E,E
DEF_Mlc_LED_OCSC_Out2,0.0,1.0,,14.0,,,,D,,,,,,,,,,,,,E,E,E,E
DEF_Mlc_LED_OCSC_Out3,0.0,1.0,,15.0,E,,,,D,,,,,,,,,,,,E,E,E,E
DEF_Mlc_LED_OCSC_Out4,0.0,1.0,,16.0,,,,,,D,,,,,,,,,,,E,E,E,E
DEF_Mlc_LED_OCSC_Out5,0.0,1.0,,17.0,,,,,,,D,,,,,,,,,,E,E,E,E
DEF_Mlc_LED_OCSC_Out6,0.0,1.0,,18.0,,E,,,,,,D,,,,,,,,,E,E,E,E
DEF_Mlc_LED_OCSC_Out7,0.0,1.0,,19.0,,,,,,,,,D,,,,,,,,E,E,E,E
DEF_LED_OCSC_Func1,0.0,1.0,,20.0,,,D,D,D,D,D,D,D,,,,,,,,E,E,D,E
DEF_LED_OCSC_Func2,0.0,1.0,,17.0,,,D,D,D,D,D,D,D,,,,,,,,E,E,D,E
DEF_LED_OCSC_Func3,0.0,1.0,,22.0,,,D,D,D,D,D,D,D,,,,,,,,E,E,D,E
DEF_LED_OCSC_Func4,0.0,1.0,,23.0,,,D,D,D,D,D,D,D,,,,,,,,E,E,D,E
DEF_LED_OCSC_Func5,0.0,1.0,,15.0,D,,D,D,D,D,D,D,D,,,,,,,,E,E,D,E
DEF_LED_OCSC_Func6,0.0,1.0,,25.0,,,D,D,D,D,D,D,D,,,,,,,,E,E,D,E
DEF_LED_OCSC_Func7,0.0,1.0,,26.0,,,D,D,D,D,D,D,D,,,,,,,,E,E,D,E
DEF_LED_OCSC_Func8,0.0,1.0,,17.0,,,D,D,D,D,D,D,D,,,,,,,,E,E,D,E
DEF_LED_OCSC_Func9,0.0,1.0,,28.0,,,D,D,D,D,D,D,D,,,,,,,,E,E,D,E
DEF_LED_OCSC_Func10,0.0,1.0,,29.0,,,D,D,D,D,D,D,D,,,,,,,,E,E,D,E
DEF_LED_OCSC_Func11,0.0,1.0,,30.0,,,D,D,D,D,D,D,D,,,,,,,,E,E,D,E
DEF_LED_OCSC_Func12,0.0,1.0,,31.0,,,D,D,D,D,D,D,D,,,,,,,,E,E,D,E
DEF_LED_OCSC_Func13,0.0,1.0,,32.0,,,D,D,D,D,D,D,D,,,,,,,,E,E,D,E
DEF_LED_OCSC_Func14,0.0,1.0,,33.0,,,D,D,D,D,D,D,D,,,,,,,,E,E,D,E
DEF_LED_OCSC_Func15,0.0,1.0,,34.0,,,D,D,D,D,D,D,D,,,,,,,,E,E,D,E
Smart Defect function,,,,,,,,,,,,,,,,,,,,,,,,
DEF_SMART_CH1_OVERCURRENT,0.0,1.0,,35.0,,,,,,,,,,D,,,,,,,E,E,,E
DEF_SMART_CH1_LOWCURRENT,0.0,1.0,,35.0,,,,,,,,,,D,,,,,,,E,E,,E
DEF_SMART_CH2_OVERCURRENT,0.0,1.0,,36.0,,,,,,,,,,,D,,,,,,E,E,,E
DEF_SMART_CH2_LOWCURRENT,0.0,1.0,,36.0,,,,,,,,,,,D,,,,,,E,E,,E
DEF_SMART_CH3_OVERCURRENT,0.0,1.0,,37.0,,,,,,,,,,,,D,,,,,E,E,,E
DEF_SMART_CH3_LOWCURRENT,0.0,1.0,,37.0,,,,,,,,,,,,D,,,,,E,E,,E
DEF_SMART_CH4_OVERCURRENT,0.0,1.0,,38.0,,,,,,,,,,,,,D,,,,E,E,,E
DEF_SMART_CH4_LOWCURRENT,0.0,1.0,,38.0,,,,,,,,,,,,,D,,,,E,E,,E
DEF_SMART_CH5_OVERCURRENT,0.0,1.0,,40.0,,,,,,,,,,,,,,D,,,E,E,,E
DEF_SMART_CH5_LOWCURRENT,0.0,1.0,,40.0,,,,,,,,,,,,,,D,,,E,E,,E
DEF_SMART_CH1CH2_OVERTEMP,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_SMART_CH3CH5_OVERTEMP,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
General Defects at input,,,,,,,,,,,,,,,,,,,,,,,,
DEF_DRIVER_ELEC_UV_ECUB,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_DRIVER_ELEC_OV_ECUB,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_DRIVER_ELEC_RANGEREADYNESS,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Misceanelleous defects,,,,,,,,,,,,,,,,,,,,,,,,
DEF_FAN_DIAGFREQUENCY_WorkOUTOFRANGE1,0.0,1.0,,53.0,,,D,D,D,D,D,D,D,,,,,,,,E,E,D,E
DEF_FAN_DIAGFREQUENCY_WorkOUTOFRANGE2,0.0,1.0,,54.0,,,D,D,D,D,D,D,D,,,,,,,,E,E,D,E
DEF_FAN_DIAGFREQUENCY_NotWorkOUTOFRANGE1,0.0,1.0,,55.0,,,D,D,D,D,D,D,D,,,,,,,,E,E,D,E
DEF_FAN_DIAGFREQUENCY_NotWorkOUTOFRANGE2,0.0,1.0,,56.0,,,D,D,D,D,D,D,D,,,,,,,,E,E,D,E
DEF_LDO_5VOPSAT_OUTOFRANGE1,0.0,1.0,,41.0,,,D,D,D,D,D,D,D,,,,,,,,E,E,,E
DEF_LinFail,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_DhlFail_Motor,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_DhlFail_Sensor,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_DhlFail_PowerSupply,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_DaSignalShortToPwr,0.0,1.0,,44.0,,,D,D,D,D,D,D,D,,,,,,,,E,E,D,E
DEF_DaSignalShortToGnd,0.0,1.0,,44.0,,,D,D,D,D,D,D,D,,,,,,,,E,E,D,E
DEF_ShlPwrOutOfRange,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_INFSStsInWork,0.0,1.0,,53.0,,,,,,,,,,,,,,,E,D,,,,
DEF_INFSStsNoWork,0.0,1.0,,54.0,,,,,,,,,,,,,,,D,D,,,,
DEF_CFAIL_MLC_1,0.0,1.0,,45.0,,,D,D,D,D,D,D,D,,,,,,,,E,E,D,E
DEF_CFAIL_MLC_2,0.0,1.0,,46.0,,,D,D,D,D,D,D,D,,,,,,,,E,E,D,E
DEF_CFAIL_MLC_3,0.0,1.0,,47.0,,,D,D,D,D,D,D,D,,,,,,,,E,E,D,E
DEF_CFAIL_MLC_4,0.0,1.0,,48.0,,,D,D,D,D,D,D,D,,,,,,,,E,E,D,E
DEF_IDFAIL_MLC_1,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_IDFAIL_MLC_2,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_IDFAIL_MLC_3,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_IDFAIL_MLC_4,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_OTW1_MLC_1,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_OTW1_MLC_2,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_OTW1_MLC_3,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_OTW1_MLC_4,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_OTW2_MLC_1,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_OTW2_MLC_2,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_OTW2_MLC_3,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_OTW2_MLC_4,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_POK_MLC_1,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_POK_MLC_2,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_POK_MLC_3,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_POK_MLC_4,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_LHM_MLC_1,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_LHM_MLC_2,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_LHM_MLC_3,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_LHM_MLC_4,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_TBOF_MLC_1,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_TBOF_MLC_2,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_TBOF_MLC_3,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_TBOF_MLC_4,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_FRAME_LOSS_ARY1S14_MLC_1,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_FRAME_LOSS_ARY1S14_MLC_2,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_FRAME_LOSS_ARY1S14_MLC_3,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_FRAME_LOSS_ARY1S14_MLC_4,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_FRAME_LOSS_PDC1G01,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_FRAME_LOSS_ZN11S19_SHORT,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_FRAME_LOSS_ZN11S19_LONG,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_FRAME_LOSS_BDB1F01,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_FRAME_LOSS_ADU1S10_short,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_FRAME_LOSS_ADU1S10_Long,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_FRAME_LOSS_ADU1S11_short,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_FRAME_LOSS_ADU1S11_long,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_FRAME_LOSS_ADU1S12_short,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_FRAME_LOSS_ADU1S12_long,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_FRAME_LOSS_ADU1S13_short,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_FRAME_LOSS_ADU1S13_long,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_FRAME_LOSS_ADU1S14_short,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_FRAME_LOSS_ADU1S14_long,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_FRAME_LOSS_ADU1S15_short,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_FRAME_LOSS_ADU1S15_long,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_FRAME_LOSS_ADU1S16_short,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_FRAME_LOSS_ADU1S16_long,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_FRAME_LOSS_ADU1S17_short,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_FRAME_LOSS_ADU1S17_long,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_FRAME_LOSS_VSC1G13,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_FRAME_LOSS_BDB1S08,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
"DEF_FRAME_LOSS_ZN11S42
",1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_GlobalCan_Error,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_LocalCan_Error,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_TNS_ERROR_LTi,0.0,1.0,,53.0,,,D,D,D,D,D,D,D,,,,,,,,E,E,D,E
DEF_TNS_ERROR_RTi,0.0,1.0,,54.0,,,D,D,D,D,D,D,D,,,,,,,,E,E,D,E
DEF_GCan_RAM,0.0,1.0,,55.0,,,D,D,D,D,D,D,D,,,,,,,,E,E,D,E
DEF_LCan_RAM,0.0,1.0,,56.0,,,D,D,D,D,D,D,D,,,,,,,,E,E,D,E
DEF_Nvm_Error,0.0,1.0,,57.0,,,D,D,D,D,D,D,D,,,,,,,,E,E,D,E
DEF_Rom_Error,0.0,1.0,,58.0,,,D,D,D,D,D,D,D,,,,,,,,E,E,D,E
DEF_Dest_written_NVM ,0.0,1.0,,59.0,,,D,D,D,D,D,D,D,,,,,,,,E,E,D,E
DEF_VehSpec_NotMatch,0.0,1.0,,60.0,,,D,D,D,D,D,D,D,,,,,,,,E,E,D,E
DEF_FRAME_LOSS_BDB1F03,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_FRAME_LOSS_HD_AFS1S01,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_FRAME_LOSS_HD_LPS1S01,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_AHS_HD_Temporary_failure,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_AHS_HD_failure,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_DRIVER_ELEC_UV_COMM_ECUB,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_DRIVER_ELEC_OV_COMM_ECUB,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_ECUB_Error,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_FRAME_LOSS_HD_LW_STATUS,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_FRAME_LOSS_HD_RW_STATUS,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_ExcessiveWakeup,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEF_SleepNG,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
