"X mean mandatory standard reaction
E mean the defect is configurable and the platform will be configured as Enabled.
D mean the defect is configurable and the platform will be configured as Disabled.
Blank mean no reason to have this reaction","Reversibility
",descr,FIM_DefectBoostSwitchOFF1,FIM_DefectBoostSwitchOFF2,FIM_LED1SwitchOFF,FIM_LED2SwitchOFF,FIM_LED3SwitchOFF,FIM_LED4SwitchOFF,FIM_LED5SwitchOFF,FIM_LED6SwitchOFF,FIM_LED7SwitchOFF,Set LB failure,Set TI failure ,Set AHS failure ,Set AHS Temporary failure ,Set LAMP failure ,Set LAMP Temporary failure ,Set_CL_failure,Set DHL failure,Set DHL Temporary failure ,Force LB activation,Force PL activation,Force FSML activation,Force DRL deactivation,Force TI deactivation,Force HB deactivation,Force AHS deactivation,Force CL deactivation,Force SRP deactivation,Force PL deactivation,Force FSML deactivation,Force AddHB deactivation,Force Add1 deactivation,Force Add2 deactivation,Force Add3 deactivation,Force SHL deactivation,Force DHL deactivation,FIM_Switch1SwitchOFF,FIM_Switch2SwitchOFF,FIM_Switch3SwitchOFF,FIM_Switch4SwitchOFF,FIM_Switch5SwitchOFF,FIM_ACTION_SMARTCH1CH2_STANDBY,FIM_ACTION_SMARTCH4_STANDBY,FIM_ACTION_SMARTCH3CH5_STANDBY,FIM_DualBuckChip1SetFSO(LHM),FIM_DualBuckChip2SetFSO(LHM),FIM_5VSATSwitchOFF1,FIM_5VSATSwitchOFF2,FIM_5VSATSwitchOFF3,FIM_ForceDerating_Func1,FIM_ForceDerating_Func2,FIM_ForceDerating_Func3,FIM_ForceDerating_Func4,FIM_ForceDerating_Func5,FIM_ForceDerating_Func6,FIM_ForceDerating_Func7,FIM_ForceDerating_Func8,FIM_ForceDerating_Func9,FIM_ForceDerating_Func10,FIM_ForceDerating_Func11,FIM_ForceDerating_Func12,FIM_ForceDerating_Func13,FIM_ForceDerating_Func14,FIM_ForceDerating_Func15,Set Boost_1_Defective,Set Boost_2_Defective,FIM_Hbridge1SwitchOFF,FIM_BoostSetFSO1,FIM_LED_SWITCH_OFF_FUNC1,FIM_LED_SWITCH_OFF_FUNC2,FIM_LED_SWITCH_OFF_FUNC3,FIM_LED_SWITCH_OFF_FUNC4,FIM_LED_SWITCH_OFF_FUNC5,FIM_LED_SWITCH_OFF_FUNC6,FIM_LED_SWITCH_OFF_FUNC7,FIM_LED_SWITCH_OFF_FUNC8,FIM_LED_SWITCH_OFF_FUNC9,FIM_LED_SWITCH_OFF_FUNC10,FIM_LED_SWITCH_OFF_FUNC11,FIM_LED_SWITCH_OFF_FUNC12,FIM_LED_SWITCH_OFF_FUNC13,FIM_LED_SWITCH_OFF_FUNC14,FIM_LED_SWITCH_OFF_FUNC15,FIM_StaticLvlStop,FIM_DhlStandby,FIM_GoToFailsafePosition,FIM_GoToFailsafePosition_Lin,FIM_StaticLvlStandby,FIM_PwmSignal_1_SwitchOff,FIM_PwmSignal_2_SwitchOff,FIM_DisableTi_Ani,FIM_reset_TI_counter,FIM_reset_SRP_counter,Set_Salr_to_000000b,FIM_GatewayStop,FIM_DriverStateFrameStop,FIM_NetworkFrameStop
DEF_LED_DualBUCK_2_COMM_SILENT,1.0,,D,D,D,D,D,E,D,E,E,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,D,E,,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,D,D,D,,,,,,
DEF_LED_DualBUCK_2_STATE_PC,0.0,,D,D,D,D,D,E,D,E,E,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,D,D,D,,,,,,
DEF_LED_DualBUCK_2_STATE_STANDALONE,0.0,,D,D,D,D,D,E,D,E,E,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,D,D,D,,,,,,
DEF_StuckOpenError_HBridge_SW2,0.0,,,,E,E,,,,,,D,D,E,D,D,D,D,D,D,,,,,,,E,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,D,D,D,,,,,,
External Defect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temperature sensor Defect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func1,1.0,,,,D,D,D,D,D,D,D,E,D,D,D,D,D,D,D,D,,,,,,,E,,,,,,,,,,,D,D,D,D,D,D,D,D,,,,,,E,D,,,,,,D,,,,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func2,1.0,,,,D,D,D,D,D,D,D,D,D,E,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,,,,D,E,,,,,,D,,,,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func3,1.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,,,,,,E,D,,,D,,,D,D,,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func4,1.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,,,,,,D,D,,,D,,,D,D,,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func5,1.0,,,,D,D,D,D,D,D,D,D,E,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,,,,,,,,E,D,,,,,,,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func6,1.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,,,,,,,,D,E,,,,,,,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func7,1.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,,,,,,D,D,,,E,,,D,D,,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func8,1.0,,,,D,D,D,D,D,D,D,D,D,E,D,D,D,D,D,D,,,,,,,E,,,,,,,,,,,D,D,D,D,D,,,,,,,,,D,D,,,,,,E,,,,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func9,1.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,,,,,,,,,,,,,,,,,E,,,,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func10,1.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,,,,,,,,,,,D,D,,,D,,,E,D,,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func11,1.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,,,,,,,,,,,D,D,,,D,,,D,D,,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func12,1.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,,,,,,,,,D,D,,,,,D,,,,,E,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func13,1.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,E,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func14,1.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,E,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func15,1.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LedThermalShutdown_Func1,1.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,,,,E,D,,,,,,D,,,,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LedThermalShutdown_Func2,1.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,,,,D,E,,,,,,D,,,,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LedThermalShutdown_Func3,1.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,,,,,,E,D,,,D,,,D,D,,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LedThermalShutdown_Func4,1.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,,,,,,D,D,,,D,,,D,D,,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LedThermalShutdown_Func5,1.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,,,,,,,,E,D,,,,,,,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LedThermalShutdown_Func6,1.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,,,,,,,,D,E,,,,,,,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LedThermalShutdown_Func7,1.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,,,,,,D,D,,,E,,,D,D,,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LedThermalShutdown_Func8,1.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,,,,,,,,,D,D,,,,,,E,,,,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LedThermalShutdown_Func9,1.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,,,,,,,,,,,,,,,,,E,,,,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LedThermalShutdown_Func10,1.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,,,,,,,,,,,D,D,,,D,,,E,D,,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LedThermalShutdown_Func11,1.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,,,,,,,,,,,D,D,,,D,,,D,D,,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LedThermalShutdown_Func12,1.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,,,,,,,,,D,D,,,,,D,,,,,E,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LedThermalShutdown_Func13,1.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,E,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LedThermalShutdown_Func14,1.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,E,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LedThermalShutdown_Func15,1.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_DriverNTC_TEMPSENSOR1,1.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,D,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_DriverNTC_TEMPSENSOR2,1.0,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,D,D,D,D,D,D,D,D,,,D,D,D,E,E,E,E,E,E,E,E,E,E,E,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bin coding sensor Defect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_1,1.0,,,,D,D,D,D,D,D,D,E,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_2,1.0,,,,,,,,,,,D,D,E,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_3,1.0,,,,,,,,,,,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_4,1.0,,,,,,,,,,,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_5,1.0,,,,D,D,D,D,D,D,D,D,E,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_6,1.0,,,,,,,,,,,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_7,1.0,,,,,,,,,,,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_8,1.0,,,,,,,,,,,D,D,E,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_9,1.0,,,,,,,,,,,D,D,D,D,D,D,E,D,D,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_10,1.0,,,,,,,,,,,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_11,1.0,,,,,,,,,,,D,D,D,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_12,1.0,,,,,,,,,,,D,D,E,D,D,D,D,D,D,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
