"X mean recommended standard reaction
E mean the defect is configurable and the platform will be configured as Enabled.
D mean the defect is configurable and the platform will be configured as Disabled.
Blank mean no reason to have this reaction but free for P1



A logical AND shall be performed between the following conditions","Reversibility
",descr,"always 
(E: Defect Enable; D: Defect Diasble)",DEF_Driver_ELEC_UV_RawNotDetected,DEF_Driver_ELEC_OV_RawNotDetected,DEF_Driver_ELEC_RANGEREADYNESS_absent,LED1_Activ,LED1_OpenCircuit not detected,LED2_Activ,LED2_OpenCircuit not detected,LED3_Activ,LED4_Activ,LED5_Activ,LED6_Activ,LED7_Activ,Boost1 is not  defective,Boost2 is not  defective,HSS1_Activ,HSS2_Activ,HSS3_Activ,HSS4_Activ,HSS5_Activ,Def_Driver_ELEC_RANGEREADYNESS is confirmed,Static Leveling_Activ,Static Leveling_Needed,Dynamic Leveling_Activ,Dynamic Leveling_Needed,AM_ActiveStatus_Bumper1=1,AM_ActiveStatus_Bumper1=0,Function1_Activ,Function2_Activ,Function3_Activ,Function4_Activ,Function5_Activ,Function6_Activ,Function7_Activ,Function8_Activ,Function9_Activ,Function10_Activ,Function11_Activ,Function12_Activ,Function13_Activ,Function14_Activ,Function15_Activ,FAN1_Activ,FAN2_Activ,FAN1_NotActiv,FAN1_NotActiv.1,Power Present,AniState_LB=0,AniState_HB=0,AniState_DRL1=0,AniState_PL1=0,AniState_TI=0,AniState_SRP=0,AniState_FSML=0,AniState_AHS=0,AniState_CL=0,AniState_DRL2=0,AniState_PL2=0,AniState_AddHB=0,AniState_Add1=0,AniState_Add2=0,AniState_Add3=0,DEF_LED_BOOST_COMM_SPIERROR not confirmed AND DEF_LED_BOOST_COMM_SILENTSPI not confirmed,PWMOutput1_Activ,PWMOutput2_Activ,AM_ActiveStatus_Bumper2=1,AM_ActiveStatus_Bumper2=0,DEF_LED_DualBUCK_1_COMM_SPE not confirmed AND DEF_LED_DualBUCK_1_COMM_SILENT not confirmed,DEF_LED_DualBUCK_2_COMM_SPE not confirmed  AND DEF_LED_DualBUCK_2_COMM_SILENT not confirmed,ECUB_voltage_Range_ 8V_ to_18V,DEF_LED_TEMPSENSOR_Func1=FALSE,DEF_LED_TEMPSENSOR_Func2=FALSE,DEF_LED_TEMPSENSOR_Func3=FALSE,DEF_LED_TEMPSENSOR_Func4=FALSE,DEF_LED_TEMPSENSOR_Func5=FALSE,DEF_LED_TEMPSENSOR_Func6=FALSE,DEF_LED_TEMPSENSOR_Func7=FALSE,DEF_LED_TEMPSENSOR_Func8=FALSE,DEF_LED_TEMPSENSOR_Func9=FALSE,DEF_LED_TEMPSENSOR_Func10=FALSE,DEF_LED_TEMPSENSOR_Func11=FALSE,DEF_LED_TEMPSENSOR_Func12=FALSE,DEF_LED_TEMPSENSOR_Func13=FALSE,DEF_LED_TEMPSENSOR_Func14=FALSE,DEF_LED_TEMPSENSOR_Func15=FALSE,IGR_PDC=ON ,Left TI_Stus =ON,Var_Vsi_B2u_ready=1,Right TI_Stus=ON,PAR_GatewayEnable = 1,PAR_TypeOfLocalCan is not equal to 0,Not in Bus Sleep Mode,5VSAT_Activ
DEF_LED_DualBUCK_1_THERM_CH1TP,0.0,,E,E,E,E,,,,,D,,,,,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_DualBUCK_1_THERM_CH2TP,0.0,,E,E,E,E,,,,,,D,,,,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_DualBUCK_1_COMM_SPE,1.0,,E,E,E,E,,,,,D,D,,,,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_DualBUCK_1_COMM_SILENT,1.0,,E,E,E,E,,,,,D,D,,,,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_DualBUCK_1_STATE_PC,0.0,,E,E,E,E,,,,,D,D,,,,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_DualBUCK_1_STATE_STANDALONE,0.0,,E,E,E,E,,,,,D,D,,,,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_DualBUCK_2_THERM_CH1TP,0.0,,E,E,E,E,,,,,,,,D,,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_DualBUCK_2_THERM_CH2TP,0.0,,E,E,E,E,,,,,,,,,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_DualBUCK_2_COMM_SPE,1.0,,E,E,E,E,,,,,,,,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_DualBUCK_2_COMM_SILENT,1.0,,E,E,E,E,,,,,,,,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_DualBUCK_2_STATE_PC,0.0,,E,E,E,E,,,,,,,,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_DualBUCK_2_STATE_STANDALONE,0.0,,E,E,E,E,,,,,,,,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,
DEF_StuckOpenError_HBridge_SW2,0.0,,E,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
External Defect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Temperature sensor Defect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func1,1.0,,E,E,E,E,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func2,1.0,,E,E,E,E,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func3,1.0,,E,E,E,E,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func4,1.0,,E,E,E,E,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func5,1.0,,E,E,E,E,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func6,1.0,,E,E,E,E,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func7,1.0,,E,E,E,E,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func8,1.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func9,1.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func10,1.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func11,1.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func12,1.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func13,1.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func14,1.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_TEMPSENSOR_Func15,1.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LedThermalShutdown_Func1,1.0,,E,E,E,E,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,
DEF_LedThermalShutdown_Func2,1.0,,E,E,E,E,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,,
DEF_LedThermalShutdown_Func3,1.0,,E,E,E,E,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,,
DEF_LedThermalShutdown_Func4,1.0,,E,E,E,E,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,,
DEF_LedThermalShutdown_Func5,1.0,,E,E,E,E,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,,
DEF_LedThermalShutdown_Func6,1.0,,E,E,E,E,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,,
DEF_LedThermalShutdown_Func7,1.0,,E,E,E,E,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,,
DEF_LedThermalShutdown_Func8,1.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,,
DEF_LedThermalShutdown_Func9,1.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,,
DEF_LedThermalShutdown_Func10,1.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,,
DEF_LedThermalShutdown_Func11,1.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,,
DEF_LedThermalShutdown_Func12,1.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,,
DEF_LedThermalShutdown_Func13,1.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,,
DEF_LedThermalShutdown_Func14,1.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,,
DEF_LedThermalShutdown_Func15,1.0,,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,,,,,,,,
DEF_DriverNTC_TEMPSENSOR1,1.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_DriverNTC_TEMPSENSOR2,1.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bin coding sensor Defect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_1,1.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_2,1.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_3,1.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_4,1.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_5,1.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_6,1.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_7,1.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_8,1.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_9,1.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_10,1.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_11,1.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_12,1.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_13,1.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_14,1.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_BoolBinFailureOut_Func_15,1.0,,E,E,E,E,D,,D,,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LED load failure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_LOAD_1_SHORTCIRCUIT,0.0,,E,E,E,E,E,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,E,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_LOAD_2_SHORTCIRCUIT,0.0,,E,E,E,E,,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,E,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_LOAD_3_SHORTCIRCUIT,0.0,,E,E,E,E,,,,,E,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,E,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_LOAD_4_SHORTCIRCUIT,0.0,,E,E,E,E,,,,,,E,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,E,E,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_LOAD_5_SHORTCIRCUIT,0.0,,E,E,E,E,,,,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_LOAD_6_SHORTCIRCUIT,0.0,,E,E,E,E,,,,,,,,E,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,E,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_LOAD_7_SHORTCIRCUIT,0.0,,E,E,E,E,,,,,,,,,E,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,D,D,D,D,D,D,D,D,E,E,E,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF_LED_LOAD_1_OPENCIRCUIT,0.0,,E,E,E,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,E,E,D,D,D,D,D,D,D,D,D,D,D,D,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
