No,REQ,req version,Detection Verified in spec,all table verified,Failure Familly, related,Failure type,Failure severity,SAFETY RELEVANT ?,Defect Name,Description,Monitored Data,DataFiltering / DataConsitency Mechanism,Defect running condition,Defect Frozen condition,Defect Stop condition,Defect Protection,PAR_EnumDefectDetectionType,Defect Detection Condition,No detect condition,PAR_[Defect_Name]_InitialState,Defect filtering CounterHi,Defect Filtering CounterLo,PAR_[Defect_Name]_Increment,PAR_[Defect_Name]_Decrement,[Defect_Name]_DefectEvaluationPeriod (ms),Typical comfirmation time (ms) information only,Typical time to deconfirm (ms) information only,Function inhibition management,PAR_[Defect_Name]_Reversibility,Defect reporting,Defect logging,PAR_[Defect_Name]_RetryAuthorization,PAR_[Defect_Name]_Reinitialize,Defect retry condition,PAR_[Defect_Name]_NbrOfEvalPeriodBtwRetries,Delay between retries,PAR_[Defect_Name]_NbrMaxRetry,PAR_[Defect_Name]_NbrOfEvalPeriodMaxInRetryPreparation,Max delay in retry preparation,PAR_[DefectName]_DiagnosticSupressionNumberOfPeriods,Defect retry action,Defect retry counter init,Defect retry succeed counter value,Defect retry failed counter value,Defect retry increment,Defect retry decrement,Defect supression time (ms),commentaire
10.0,LAMP_ECU_DEF_10,1.0,F_CurrentRegulation,YES,,,,Electrical with function loss,Safety relevant,DEF_LedDualBoost_CommSILENT,Detection state of the missing spi communication defect for Dual BOOST,Boost Mode State data,,"Condition_GENERAL_UV_OV  AND DEF_Driver_ELEC_RANGEREADINESS_absent
AND
Diagnostic supression time elapsed
",,,,1D,CommSILENT is 1,CommSILENT is 0,DEF_LedDualBoost_CommSILENT_Absent,1023.0,-1024.0,50.0,1024.0,10.0,210.0,20.0,,1,Functionnal failure flag of the function linked to this buck channel,"DTC of internal buck fault for this buck channel
DTC of this buck channel function",0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
11.0,LAMP_ECU_DEF_11,1.0,F_CurrentRegulation,YES,,,,Thermal with Function loss,Safety relevant,DEF_LED_DualBUCK_1_THERM_CH1TP,DualBuck CH1 is thermal shut down,SPI data,SPI check,"Condition_GENERAL_UV_OV  AND DEF_Driver_ELEC_RANGEREADINESS_absent
AND
Diagnostic supression time elapsed
AND
DEF_LED_DualBUCK_1_COMM_SPE not confirmed AND DEF_LED_DualBUCK_1_COMM_SILENT not confirmed",Never,Never,HW,1D,CH1TP is 1,CH1TP is 0,DEF_LED_DualBUCK_1_THERM_CH1TP_absent,127.0,-128.0,12.0,255.0,10.0,110.0,10.0,Buck channel1 switch OFF,0,Functionnal failure flag of the function linked to this Buck channel,"DTC of internal buck fault for this buck channel
DTC of this buck channel function",1.0,0.0,Tj < Threshold,500,5000,3,500,5000,6,Remove inhibition action,1,0,,,,60,
12.0,LAMP_ECU_DEF_12,1.0,F_CurrentRegulation,YES,,,,Thermal with Function loss,Safety relevant,DEF_LED_DualBUCK_1_THERM_CH2TP,DualBuck CH2 is thermal shut down,SPI data,SPI check,"Condition_GENERAL_UV_OV  AND DEF_Driver_ELEC_RANGEREADINESS_absent
AND
Diagnostic supression time elapsed
AND
DEF_LED_DualBUCK_1_COMM_SPE not confirmed AND DEF_LED_DualBUCK_1_COMM_SILENT not confirmed",Never,Never,HW,1D,CH2TP is 1,CH2TP is 0,DEF_LED_DualBUCK_1_THERM_CH2TP_absent,127.0,-128.0,6.0,255.0,10.0,220.0,10.0,Buck channel2 switch OFF,0,Functionnal failure flag of the function linked to this Buck channel,"DTC of internal buck fault for this buck channel
DTC of this buck channel function",1.0,1.0,Tj < Threshold,500,5000,3,500,5000,6,Remove inhibition action,1,0,,,,60,
13.0,LAMP_ECU_DEF_13,1.0,F_CurrentRegulation,YES,,,,Communication with function loss,Safety relevant,DEF_LED_DualBUCK_1_COMM_SPE,"DualBuck communication is incorrect
OR Readback error",SPI data,?,"Condition_GENERAL_UV_OV   AND DEF_Driver_ELEC_RANGEREADINESS_absent
AND
Diagnostic supression time elapsed
AND Buck channel active  ",Never,"Condition_GENERAL_UV_OV  OR DEF_Driver_ELEC_RANGEREADINESS_confirmed
OR
Diagnostic supression time has not elapsed
Buck channel deactivated",none,1D,SPE is 1 OR Readback error,SPE is 0 AND Readback OK,DEF_LED_DualBUCK_1_COMM_SPE_absent,1023.0,-1024.0,50.0,1024.0,10.0,210.0,20.0,"Switch the Buck into FSO
SET FSO",1,Functionnal failure flag of the function linked to this buck channel,"DTC of internal buck fault for this buck channel
DTC of this buck channel function",0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
14.0,LAMP_ECU_DEF_14,1.0,F_CurrentRegulation,YES,,,,Communication with function loss,Safety relevant,DEF_LED_DualBUCK_1_COMM_SILENT,DualBuck communication is SILENT,presence of SPI data,?,"Condition_GENERAL_UV_OV   AND DEF_Driver_ELEC_RANGEREADINESS_absent
AND
Diagnostic supression time elapsed
AND Buck channel active  ",Never,"Condition_GENERAL_UV_OV  OR DEF_Driver_ELEC_RANGEREADINESS_confirmed
OR
Diagnostic supression time has not elapsed
Buck channel deactivated",none,1D,NO SPI,SPI present,DEF_LED_DualBUCK_1_COMM_SILENT_absent,1023.0,-1024.0,50.0,1024.0,10.0,210.0,20.0,"Even if the buck go in FSO by itself the buck driver shall request set FSO
SET FSO",1,Functionnal failure flag of the function linked to this buck channel,"DTC of internal buck fault for this buck channel
DTC of this buck channel function",0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
15.0,LAMP_ECU_DEF_15,1.0,F_CurrentRegulation,YES,,,,State with function loss,Safety relevant,DEF_LED_DualBUCK_1_STATE_PC,A power cycle has occured on the DualBUCK,SPI data,SPI check,"Condition_GENERAL_UV_OV  AND DEF_Driver_ELEC_RANGEREADINESS_absent
AND
Diagnostic supression time elapsed
AND
No BOOST_Defect_Present
AND
DEF_LED_DualBUCK_1_COMM_SPE not confirmed AND DEF_LED_DualBUCK_1_COMM_SILENT not confirmed",Never,"Condition_GENERAL_UV_OV  OR DEF_Driver_ELEC_RANGEREADINESS_confirmed
OR
Diagnostic supression time has not elapsed
OR
at least one BOOST_Defect_Present""

PB SBC ? ",none,1D,PC is 1,PC is 0,DEF_LED_DualBUCK_1_STATE_PC_absent,127.0,-128.0,10.0,255.0,10.0,130.0,10.0,,0,Functionnal failure flag of the function linked to this buck channel,"DTC of internal buck fault for this buck channel
DTC of this buck channel function",1.0,0.0,"Condition_GENERAL_UV_OV  
OR
Diagnostic supression time has not elapsed
OR
at least one BOOST_Defect_Present""",500,5000,3,500,5000,2,"reinitialise this DualBuck
and remove Function inhibition",25,0,50,2,1,20,
16.0,LAMP_ECU_DEF_16,1.0,F_CurrentRegulation,YES,,,,State with function loss,Safety relevant,DEF_LED_DualBUCK_1_STATE_STANDALONE,The Dualbuck is not in the correct state (stand alone is a HW commanding way),SPI data,SPI check,"Condition_GENERAL_UV_OV  AND DEF_Driver_ELEC_RANGEREADINESS_absent
AND
DEF_LED_DualBUCK_1_COMM_SPE not confirmed AND DEF_LED_DualBUCK_1_COMM_SILENT not confirmed",Never,"Condition_GENERAL_UV_OV  OR DEF_Driver_ELEC_RANGEREADINESS_confirmed
",HW,1D,StandAlone is 1,StandAlone is 0,DEF_LED_DualBUCK_1_STATE_STANDALONE_absent,127.0,-128.0,10.0,255.0,10.0,130.0,10.0,Stop the buck channel,0,Functionnal failure flag of the function linked to this Buck channel,"DTC of internal buck fault for this buck channel
DTC of this buck channel function",1.0,0.0,Condition_GENERAL_UV_OV  ,500,5000,3,500,5000,2,"reinitialise this DualBuck
and remove Function inhibition",25,0,50,2,1,20,
17.0,LAMP_ECU_DEF_17,1.0,F_CurrentRegulation,YES,,,,Thermal with Function loss,Safety relevant,DEF_LED_DualBUCK_2_THERM_CH1TP,DualBuck CH1 is thermal shut down,SPI data,SPI check,"Condition_GENERAL_UV_OV  AND DEF_Driver_ELEC_RANGEREADINESS_absent
AND
Diagnostic supression time elapsed
AND
DEF_LED_DualBUCK_2_COMM_SPE not confirmed AND DEF_LED_DualBUCK_2_COMM_SILENT not confirmed",Never,Never,HW,1D,CH1TP is 1,CH1TP is 0,DEF_LED_DualBUCK_2_THERM_CH1TP_absent,127.0,-128.0,12.0,255.0,10.0,110.0,10.0,Buck channel1 switch OFF,0,Functionnal failure flag of the function linked to this Buck channel,"DTC of internal buck fault for this buck channel
DTC of this buck channel function",1.0,0.0,Tj < Threshold,500,5000,3,500,5000,1,Remove inhibition action,1,0,,,,10,
18.0,LAMP_ECU_DEF_18,1.0,F_CurrentRegulation,YES,,,,Thermal with Function loss,Safety relevant,DEF_LED_DualBUCK_2_THERM_CH2TP,DualBuck CH2 is thermal shut down,SPI data,SPI check,"Condition_GENERAL_UV_OV  AND DEF_Driver_ELEC_RANGEREADINESS_absent
AND
Diagnostic supression time elapsed
AND
DEF_LED_DualBUCK_2_COMM_SPE not confirmed AND DEF_LED_DualBUCK_2_COMM_SILENT not confirmed",Never,Never,HW,1D,CH2TP is 1,CH2TP is 0,DEF_LED_DualBUCK_2_THERM_CH2TP_absent,127.0,-128.0,6.0,255.0,10.0,220.0,10.0,Buck channel2 switch OFF,0,Functionnal failure flag of the function linked to this Buck channel,"DTC of internal buck fault for this buck channel
DTC of this buck channel function",1.0,1.0,Tj < Threshold,500,5000,3,500,5000,1,Remove inhibition action,1,0,,,,10,
19.0,LAMP_ECU_DEF_19,1.0,F_CurrentRegulation,YES,,,,Communication with function loss,Safety relevant,DEF_LED_DualBUCK_2_COMM_SPE,"DualBuck communication is incorrect
OR Readback error",SPI data,?,"Condition_GENERAL_UV_OV   AND DEF_Driver_ELEC_RANGEREADINESS_absent
AND
Diagnostic supression time elapsed
AND Buck channel active  ",Never,"Condition_GENERAL_UV_OV  OR DEF_Driver_ELEC_RANGEREADINESS_confirmed
OR
Diagnostic supression time has not elapsed
Buck channel deactivated",none,1D,SPE is 1 OR Readback error,SPE is 0 AND Readback OK,DEF_LED_DualBUCK_2_COMM_SPE_absent,1023.0,-1024.0,50.0,1024.0,10.0,210.0,20.0,"Switch the Buck into FSO
SET FSO",1,Functionnal failure flag of the function linked to this buck channel,"DTC of internal buck fault for this buck channel
DTC of this buck channel function",0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
20.0,LAMP_ECU_DEF_20,1.0,F_CurrentRegulation,YES,,,,Communication with function loss,Safety relevant,DEF_LED_DualBUCK_2_COMM_SILENT,DualBuck communication is SILENT,presence of SPI data,?,"Condition_GENERAL_UV_OV   AND DEF_Driver_ELEC_RANGEREADINESS_absent
AND
Diagnostic supression time elapsed
AND Buck channel active  ",Never,"Condition_GENERAL_UV_OV  OR DEF_Driver_ELEC_RANGEREADINESS_confirmed
OR
Diagnostic supression time has not elapsed
Buck channel deactivated",none,1D,NO SPI,SPI present,DEF_LED_DualBUCK_2_COMM_SILENT_absent,1023.0,-1024.0,50.0,1024.0,10.0,210.0,20.0,"Even if the buck go in FSO by itself the buck driver shall request set FSO
SET FSO",1,Functionnal failure flag of the function linked to this buck channel,"DTC of internal buck fault for this buck channel
DTC of this buck channel function",0.0,0.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
21.0,LAMP_ECU_DEF_21,1.0,F_CurrentRegulation,YES,,,,State with function loss,Safety relevant,DEF_LED_DualBUCK_2_STATE_PC,A power cycle has occured on the DualBUCK,SPI data,SPI check,"Condition_GENERAL_UV_OV  AND DEF_Driver_ELEC_RANGEREADINESS_absent
AND
Diagnostic supression time elapsed
AND
No BOOST_Defect_Present
AND
DEF_LED_DualBUCK_2_COMM_SPE not confirmed AND DEF_LED_DualBUCK_2_COMM_SILENT not confirmed",Never,"Condition_GENERAL_UV_OV  OR DEF_Driver_ELEC_RANGEREADINESS_confirmed
OR
Diagnostic supression time has not elapsed
OR
at least one BOOST_Defect_Present""

PB SBC ? ",none,1D,PC is 1,PC is 0,DEF_LED_DualBUCK_2_STATE_PC_absent,127.0,-128.0,10.0,255.0,10.0,130.0,10.0,,0,Functionnal failure flag of the function linked to this buck channel,"DTC of internal buck fault for this buck channel
DTC of this buck channel function",1.0,0.0,"Condition_GENERAL_UV_OV  
OR
Diagnostic supression time has not elapsed
OR
at least one BOOST_Defect_Present""",500,5000,3,500,5000,2,"reinitialise this DualBuck
and remove Function inhibition",25,0,50,2,1,20,
22.0,LAMP_ECU_DEF_22,1.0,F_CurrentRegulation,YES,,,,State with function loss,Safety relevant,DEF_LED_DualBUCK_2_STATE_STANDALONE,The Dualbuck is not in the correct state (stand alone is a HW commanding way),SPI data,SPI check,"Condition_GENERAL_UV_OV  AND DEF_Driver_ELEC_RANGEREADINESS_absent
AND
DEF_LED_DualBUCK_2_COMM_SPE not confirmed AND DEF_LED_DualBUCK_2_COMM_SILENT not confirmed",Never,"Condition_GENERAL_UV_OV  OR DEF_Driver_ELEC_RANGEREADINESS_confirmed
",HW,1D,StandAlone is 1,StandAlone is 0,DEF_LED_DualBUCK_2_STATE_STANDALONE_absent,127.0,-128.0,10.0,255.0,10.0,130.0,10.0,Stop the buck channel,0,Functionnal failure flag of the function linked to this Buck channel,"DTC of internal buck fault for this buck channel
DTC of this buck channel function",1.0,0.0,Condition_GENERAL_UV_OV  ,500,5000,3,500,5000,2,"reinitialise this DualBuck
and remove Function inhibition",25,0,50,2,1,20,
23.0,LAMP_ECU_DEF_23,1.0,"F_CurrentRegulation
",YES,,,,Elec with function loss,Safety relevant,DEF_LED_LOAD_1_SHORTCIRCUIT,The LED connected to the LEDOUT X is partially or fully shortcircuited,"Buck SPI data
VLED of the corresponding LEDOUT X",HW,"Condition_GENERAL_UV_OV  AND DEF_Driver_ELEC_RANGEREADINESS_absent
AND
Diagnostic supression time elapsed
AND
LED_LOAD_2 No Opencircuit
AND 
LEDOUT X is Activated
HBridge CHannel has no defect",Never,"Condition_GENERAL_UV_OV  OR DEF_Driver_ELEC_RANGEREADINESS_confirmed
OR
Diagnostic supression time has not elapsed
OR
BOOST_Defect_Present
OR
LEDOUT X short Defect is disabled
OR
LEDOUT X is Deactivated""
OR Buck CHannel has defect",HW,2D,VLED1 <PAR_VoltLedOutScThreshold_OUT1 && VLED2 < PAR_VoltLedOutOcThreshold_OUT2 ,VLED1 >=PAR_VoltLedOutScThreshold_OUT1  or VLED2 > PAR_VoltLedOutOcThreshold_OUT2 ,DEF_LED_LOAD_1_SHORTCIRCUIT_absent,960.0,-1024.0,1.0,1024.0,10.0,9600.0,20.0,"Shut OFF LEDOUT X
Set Function failure flag or not depends on reglementation

a configurer en fonction de la reglementation

discussion a avoir sur les différentes reactions demandés par le client / reglementation",0,Functionnal failure flag of the function linked to this LEDOUT X,DTC of this channel function,1.0,1.0,"Condition_GENERAL_UV_OV  
AND
Diagnostic supression time elapsed
AND
No BOOST_Defect_Present
AND
LEDOUT X short Defect is enabled
AND 
LEDOUT reactivation is requested",500,5000,3,500,5000,3,remove inhibition ,25,0,50,2,1,30,
